Siparis_ID,Tarih,Musteri_ID,Kategori,Urun,Satis_Kanali,Odeme_Yontemi,Liste_Fiyati,Satis_Adedi,Indirim_Orani,Kargo_Ucreti,Teslimat_Suresi,Memnuniyet_Puani
ORD-146689,2023-03-31,CUST-1719,Telefon,Akıllı Saat,Mağaza,Kapıda Ödeme,9498.91,1,0.15,0.0,0,5
ORD-893887,2023-05-05,CUST-1357,Telefon,Akıllı Telefon,Online,Havale/EFT,41963.58,1,0.0,29.9,1,3
ORD-392243,2023-07-04,CUST-1277,Bilgisayar,Tablet,Mağaza,Havale/EFT,5371.67,1,0.0,0.0,0,4
ORD-804608,2023-03-08,CUST-1741,Ev Elektroniği,Robot Süpürge,Mağaza,Kapıda Ödeme,6902.36,1,0.0,0.0,0,5
ORD-338464,2023-02-27,CUST-1501,Telefon,Akıllı Saat,Mobil Uygulama,Kapıda Ödeme,6195.11,2,0.05,49.9,5,3
ORD-154678,2023-10-28,CUST-1945,Aksesuar,Powerbank,Mağaza,Kapıda Ödeme,1081.91,1,0.05,0.0,0,5
ORD-582821,2023-09-03,CUST-1558,Ev Elektroniği,Televizyon,Online,Kapıda Ödeme,23604.95,1,0.05,29.9,2,5
ORD-458237,2023-03-27,CUST-1643,Telefon,Akıllı Saat,Online,Kredi Kartı,4177.59,2,0.1,29.9,2,5
ORD-320549,2023-04-16,CUST-1454,Bilgisayar,Laptop,Online,Havale/EFT,24692.99,1,0.2,29.9,4,5
ORD-319456,2023-08-26,CUST-1100,Telefon,Akıllı Telefon,Online,Havale/EFT,59768.81,2,0.0,49.9,5,1
ORD-181501,2023-07-04,CUST-1154,Ev Elektroniği,Robot Süpürge,Mobil Uygulama,Kapıda Ödeme,18108.12,1,0.0,49.9,5,1
ORD-865467,2023-11-26,CUST-1691,Ev Elektroniği,Robot Süpürge,Online,Havale/EFT,6746.88,1,0.0,29.9,4,5
ORD-948239,2023-01-10,CUST-1185,Bilgisayar,Monitör,Mağaza,Havale/EFT,3181.33,1,0.0,0.0,0,5
ORD-970860,2023-01-08,CUST-1604,Aksesuar,Mouse/Klavye,Mobil Uygulama,Kredi Kartı,889.07,1,0.15,29.9,1,5
ORD-179352,2023-09-12,CUST-1762,Aksesuar,Powerbank,Mobil Uygulama,Kredi Kartı,903.45,1,0.05,49.9,1,5
ORD-469856,2023-09-01,CUST-1428,Telefon,Akıllı Saat,Mobil Uygulama,Kapıda Ödeme,8511.26,1,0.1,29.9,2,5
ORD-961074,2023-09-26,CUST-1889,Ev Elektroniği,Televizyon,Mağaza,Kapıda Ödeme,26557.02,1,0.0,0.0,0,3
ORD-541989,2023-01-14,CUST-1034,Telefon,Akıllı Saat,Mobil Uygulama,Kapıda Ödeme,4881.24,1,0.05,49.9,2,5
ORD-282413,2023-07-26,CUST-1690,Bilgisayar,Monitör,Mağaza,Havale/EFT,2426.93,1,0.05,0.0,0,5
ORD-188202,2023-11-18,CUST-1332,Bilgisayar,Laptop,Online,Kredi Kartı,42526.29,2,0.1,49.9,1,5
ORD-494449,2023-05-16,CUST-1000,Telefon,Akıllı Telefon,Online,Kredi Kartı,38228.37,1,0.0,29.9,4,4
ORD-688367,2023-07-03,CUST-1699,Telefon,Akıllı Saat,Mobil Uygulama,Kapıda Ödeme,5907.77,1,0.0,29.9,5,1
ORD-799076,2023-11-05,CUST-1529,Telefon,Akıllı Telefon,Mobil Uygulama,Kapıda Ödeme,11830.45,1,0.0,49.9,1,3
ORD-670897,2023-11-18,CUST-1154,Aksesuar,Powerbank,Online,Havale/EFT,737.78,1,0.05,49.9,1,5
ORD-621247,2023-02-12,CUST-1322,Telefon,Akıllı Saat,Mağaza,Kredi Kartı,6173.85,1,0.2,0.0,0,5
ORD-471567,2023-11-04,CUST-1708,Bilgisayar,Tablet,Mağaza,Havale/EFT,10410.35,1,0.0,0.0,0,3
ORD-692783,2023-06-15,CUST-1174,Ev Elektroniği,Televizyon,Mobil Uygulama,Kapıda Ödeme,26356.16,1,0.05,29.9,3,5
ORD-379281,2023-01-15,CUST-1537,Telefon,Akıllı Saat,Mobil Uygulama,Kapıda Ödeme,8560.29,1,0.0,49.9,3,5
ORD-403759,2023-12-25,CUST-1662,Aksesuar,Mouse/Klavye,Mobil Uygulama,Kapıda Ödeme,825.89,1,0.1,49.9,1,5
ORD-776657,2023-07-06,CUST-1890,Aksesuar,Kulaklık,Mobil Uygulama,Havale/EFT,1315.52,2,0.2,29.9,3,5
ORD-125123,2023-12-25,CUST-1637,Ev Elektroniği,Kahve Makinesi,Mağaza,Havale/EFT,2769.3,1,0.05,0.0,0,5
ORD-110717,2023-12-12,CUST-1839,Aksesuar,Powerbank,Mağaza,Kredi Kartı,1434.06,2,0.15,0.0,0,5
ORD-942100,2023-04-01,CUST-1064,Telefon,Akıllı Telefon,Online,Kapıda Ödeme,23049.98,1,0.1,49.9,5,2
ORD-947134,2023-05-22,CUST-1854,Ev Elektroniği,Robot Süpürge,Online,Kapıda Ödeme,14838.55,1,0.0,49.9,3,4
ORD-476377,2023-11-17,CUST-1434,Telefon,Akıllı Telefon,Mağaza,Kredi Kartı,48351.27,1,0.05,0.0,0,5
ORD-298171,2023-03-24,CUST-1108,Bilgisayar,Monitör,Mağaza,Kapıda Ödeme,3174.53,1,0.05,0.0,0,5
ORD-990491,2023-10-05,CUST-1659,Bilgisayar,Tablet,Mağaza,Havale/EFT,8029.19,1,0.05,0.0,0,5
ORD-726444,2023-11-26,CUST-1497,Bilgisayar,Tablet,Mobil Uygulama,Kapıda Ödeme,13896.18,1,0.0,29.9,2,5
ORD-683818,2023-04-21,CUST-1884,Ev Elektroniği,Robot Süpürge,Mağaza,Kredi Kartı,6371.33,1,0.05,0.0,0,5
ORD-177516,2023-03-01,CUST-1034,Telefon,Akıllı Telefon,Mobil Uygulama,Kredi Kartı,17403.6,2,0.0,49.9,2,3
ORD-995637,2023-07-15,CUST-1737,Bilgisayar,Monitör,Mağaza,Kredi Kartı,6850.37,1,0.05,0.0,0,5
ORD-310180,2023-08-18,CUST-1041,Ev Elektroniği,Robot Süpürge,Online,Kredi Kartı,9031.96,1,0.0,29.9,1,3
ORD-448520,2023-08-17,CUST-1645,Bilgisayar,Tablet,Mobil Uygulama,Havale/EFT,3808.52,1,0.1,49.9,2,5
ORD-101140,2023-10-13,CUST-1755,Telefon,Akıllı Saat,Mobil Uygulama,Kredi Kartı,1624.18,1,0.0,29.9,1,5
ORD-619099,2023-01-14,CUST-1153,Aksesuar,Kulaklık,Mobil Uygulama,Kapıda Ödeme,590.62,2,0.0,49.9,5,1
ORD-394832,2023-07-01,CUST-1622,Telefon,Akıllı Telefon,Mobil Uygulama,Kapıda Ödeme,56382.24,1,0.2,49.9,1,5
ORD-454622,2023-04-29,CUST-1190,Telefon,Akıllı Saat,Mağaza,Havale/EFT,9127.78,1,0.0,0.0,0,4
ORD-483909,2023-11-11,CUST-1908,Aksesuar,Kulaklık,Mobil Uygulama,Havale/EFT,3537.02,1,0.0,49.9,2,3
ORD-892470,2023-01-03,CUST-1571,Ev Elektroniği,Televizyon,Online,Kapıda Ödeme,49015.56,2,0.05,29.9,2,5
ORD-464715,2023-02-23,CUST-1734,Bilgisayar,Monitör,Online,Kredi Kartı,7793.83,1,0.0,49.9,1,5
ORD-503704,2023-11-26,CUST-1870,Aksesuar,Mouse/Klavye,Mobil Uygulama,Kredi Kartı,2260.5,1,0.0,29.9,4,4
ORD-872434,2023-12-25,CUST-1725,Ev Elektroniği,Televizyon,Mağaza,Kapıda Ödeme,29983.1,2,0.15,0.0,0,5
ORD-693771,2023-07-30,CUST-1216,Aksesuar,Powerbank,Mobil Uygulama,Kredi Kartı,1194.75,1,0.0,29.9,3,5
ORD-679434,2023-07-02,CUST-1143,Ev Elektroniği,Kahve Makinesi,Mobil Uygulama,Kredi Kartı,3417.18,1,0.0,29.9,2,5
ORD-313062,2023-05-08,CUST-1172,Bilgisayar,Monitör,Online,Havale/EFT,7143.39,1,0.1,29.9,5,2
ORD-636770,2023-09-29,CUST-1438,Bilgisayar,Tablet,Online,Kapıda Ödeme,10748.7,1,0.05,29.9,4,5
ORD-966501,2023-05-06,CUST-1165,Bilgisayar,Tablet,Mobil Uygulama,Kapıda Ödeme,8344.91,1,0.0,49.9,3,5
ORD-423550,2023-03-22,CUST-1111,Aksesuar,Mouse/Klavye,Mobil Uygulama,Kapıda Ödeme,2617.97,1,0.0,29.9,4,3
ORD-262458,2023-02-10,CUST-1386,Telefon,Akıllı Telefon,Online,Kapıda Ödeme,9842.64,1,0.1,29.9,4,5
ORD-720688,2023-03-16,CUST-1122,Ev Elektroniği,Kahve Makinesi,Mağaza,Kapıda Ödeme,9135.83,1,0.0,0.0,0,5
ORD-799320,2023-06-22,CUST-1382,Bilgisayar,Monitör,Mobil Uygulama,Havale/EFT,6758.38,2,0.2,29.9,3,5
ORD-424169,2023-07-23,CUST-1367,Bilgisayar,Laptop,Mobil Uygulama,Havale/EFT,25889.49,1,0.15,49.9,2,5
ORD-186385,2023-12-11,CUST-1717,Telefon,Akıllı Telefon,Mobil Uygulama,Havale/EFT,10758.55,2,0.0,29.9,3,5
ORD-619794,2023-09-28,CUST-1972,Bilgisayar,Tablet,Online,Kredi Kartı,12306.06,1,0.0,29.9,4,5
ORD-649011,2023-12-26,CUST-1000,Telefon,Akıllı Saat,Online,Kapıda Ödeme,3672.93,1,0.05,29.9,5,3
ORD-298177,2023-10-26,CUST-1703,Bilgisayar,Laptop,Mağaza,Kredi Kartı,19151.15,1,0.2,0.0,0,5
ORD-549121,2023-06-14,CUST-1973,Bilgisayar,Tablet,Mobil Uygulama,Havale/EFT,7981.75,1,0.0,49.9,5,2
ORD-990059,2023-03-14,CUST-1127,Bilgisayar,Monitör,Mağaza,Kapıda Ödeme,4748.17,1,0.0,0.0,0,5
ORD-164102,2023-03-08,CUST-1481,Telefon,Akıllı Saat,Mobil Uygulama,Kredi Kartı,4148.36,1,0.1,49.9,1,5
ORD-291961,2023-12-14,CUST-1712,Bilgisayar,Tablet,Online,Kapıda Ödeme,5635.62,2,0.0,29.9,2,5
ORD-592810,2023-09-22,CUST-1421,Ev Elektroniği,Kahve Makinesi,Mağaza,Kredi Kartı,13390.5,1,0.1,0.0,0,5
ORD-378280,2023-07-29,CUST-1081,Ev Elektroniği,Televizyon,Mobil Uygulama,Havale/EFT,39249.2,1,0.1,49.9,4,5
ORD-243204,2023-09-09,CUST-1463,Telefon,Akıllı Telefon,Online,Kredi Kartı,46763.82,1,0.0,29.9,5,1
ORD-818959,2023-04-27,CUST-1170,Ev Elektroniği,Robot Süpürge,Mobil Uygulama,Havale/EFT,12633.41,2,0.15,49.9,2,5
ORD-867972,2023-08-07,CUST-1707,Ev Elektroniği,Televizyon,Online,Kredi Kartı,28295.75,1,0.2,49.9,2,5
ORD-688537,2023-10-24,CUST-1493,Bilgisayar,Tablet,Mobil Uygulama,Havale/EFT,4168.4,1,0.1,29.9,4,5
ORD-789499,2023-05-07,CUST-1695,Ev Elektroniği,Kahve Makinesi,Mağaza,Havale/EFT,6385.3,1,0.1,0.0,0,5
ORD-630438,2023-03-28,CUST-1240,Bilgisayar,Monitör,Mobil Uygulama,Havale/EFT,3109.52,1,0.0,29.9,5,1
ORD-936362,2023-11-03,CUST-1211,Telefon,Akıllı Telefon,Online,Kapıda Ödeme,46082.73,2,0.05,49.9,2,5
ORD-287864,2023-06-07,CUST-1272,Telefon,Akıllı Saat,Mobil Uygulama,Kredi Kartı,7229.15,2,0.1,49.9,3,5
ORD-741625,2023-10-13,CUST-1481,Ev Elektroniği,Kahve Makinesi,Mağaza,Kredi Kartı,4471.67,1,0.1,0.0,0,5
ORD-286121,2023-12-07,CUST-1178,Bilgisayar,Monitör,Online,Kredi Kartı,6427.28,1,0.0,49.9,2,4
ORD-835804,2023-07-25,CUST-1585,Aksesuar,Powerbank,Mağaza,Kapıda Ödeme,218.7,3,0.1,0.0,0,5
ORD-921981,2023-11-17,CUST-1107,Ev Elektroniği,Kahve Makinesi,Mobil Uygulama,Havale/EFT,6901.7,1,0.0,49.9,3,4
ORD-126652,2023-11-08,CUST-1433,Bilgisayar,Laptop,Mağaza,Havale/EFT,30100.35,1,0.1,0.0,0,5
ORD-909809,2023-10-30,CUST-1750,Bilgisayar,Tablet,Mobil Uygulama,Kredi Kartı,4049.36,1,0.0,29.9,2,3
ORD-762480,2023-01-23,CUST-1846,Aksesuar,Powerbank,Mobil Uygulama,Kredi Kartı,658.03,1,0.0,29.9,1,5
ORD-119039,2023-04-19,CUST-1129,Ev Elektroniği,Kahve Makinesi,Online,Havale/EFT,3412.87,1,0.2,29.9,5,2
ORD-522738,2023-05-17,CUST-1078,Ev Elektroniği,Televizyon,Mobil Uygulama,Havale/EFT,34597.05,1,0.0,49.9,3,5
ORD-626148,2023-09-08,CUST-1286,Telefon,Akıllı Telefon,Online,Kapıda Ödeme,10658.96,1,0.0,49.9,2,4
ORD-416667,2023-12-22,CUST-1225,Telefon,Akıllı Saat,Mobil Uygulama,Kapıda Ödeme,6191.46,1,0.0,49.9,2,5
ORD-972671,2023-01-27,CUST-1715,Aksesuar,Kulaklık,Online,Havale/EFT,2867.37,1,0.1,49.9,3,5
ORD-369434,2023-11-02,CUST-1129,Ev Elektroniği,Kahve Makinesi,Online,Kredi Kartı,13487.89,1,0.0,29.9,2,5
ORD-964472,2023-10-27,CUST-1073,Bilgisayar,Laptop,Online,Kredi Kartı,25811.82,1,0.0,49.9,1,5
ORD-400637,2023-03-26,CUST-1228,Bilgisayar,Tablet,Mağaza,Kredi Kartı,7767.26,2,0.0,0.0,0,4
ORD-866787,2023-04-14,CUST-1116,Telefon,Akıllı Saat,Online,Havale/EFT,6443.3,1,0.1,29.9,5,2
ORD-340153,2023-10-06,CUST-1912,Telefon,Akıllı Saat,Mağaza,Havale/EFT,2912.95,1,0.15,0.0,0,5
ORD-872484,2023-09-04,CUST-1432,Bilgisayar,Monitör,Mobil Uygulama,Kredi Kartı,2023.02,1,0.05,29.9,3,5
ORD-923832,2023-08-27,CUST-1078,Ev Elektroniği,Televizyon,Online,Havale/EFT,17096.33,1,0.15,49.9,1,5
ORD-759961,2023-10-13,CUST-1685,Aksesuar,Kulaklık,Online,Kredi Kartı,2501.84,1,0.0,49.9,3,3
ORD-887471,2023-12-03,CUST-1928,Aksesuar,Kulaklık,Online,Kredi Kartı,1904.86,1,0.1,49.9,3,5
ORD-990228,2023-09-17,CUST-1774,Telefon,Akıllı Saat,Mağaza,Kredi Kartı,6129.06,1,0.0,0.0,0,5
ORD-208323,2023-07-21,CUST-1536,Telefon,Akıllı Saat,Online,Kapıda Ödeme,7226.93,1,0.0,29.9,4,4
ORD-173163,2023-03-28,CUST-1333,Ev Elektroniği,Kahve Makinesi,Mağaza,Kapıda Ödeme,4652.84,1,0.0,0.0,0,5
ORD-339466,2023-04-14,CUST-1962,Aksesuar,Kulaklık,Mağaza,Havale/EFT,2281.0,2,0.05,0.0,0,5
ORD-928465,2023-05-30,CUST-1555,Bilgisayar,Laptop,Mağaza,Havale/EFT,33548.72,1,0.05,0.0,0,5
ORD-157986,2023-06-02,CUST-1745,Bilgisayar,Monitör,Online,Kapıda Ödeme,3454.12,2,0.05,49.9,4,5
ORD-716351,2023-03-01,CUST-1898,Ev Elektroniği,Kahve Makinesi,Mağaza,Havale/EFT,13122.16,1,0.0,0.0,0,5
ORD-222234,2023-01-17,CUST-1133,Bilgisayar,Tablet,Mağaza,Kapıda Ödeme,4297.86,1,0.1,0.0,0,5
ORD-337037,2023-10-30,CUST-1999,Ev Elektroniği,Televizyon,Mobil Uygulama,Kredi Kartı,22280.18,1,0.15,29.9,3,5
ORD-912748,2023-08-31,CUST-1142,Aksesuar,Powerbank,Mobil Uygulama,Kredi Kartı,415.15,1,0.1,49.9,3,5
ORD-363210,2023-08-08,CUST-1528,Telefon,Akıllı Telefon,Online,Kapıda Ödeme,46644.85,1,0.1,29.9,5,3
ORD-448182,2023-06-23,CUST-1525,Ev Elektroniği,Kahve Makinesi,Online,Havale/EFT,11050.5,1,0.0,49.9,1,3
ORD-746899,2023-11-26,CUST-1912,Bilgisayar,Monitör,Online,Havale/EFT,3816.65,1,0.05,49.9,5,3
ORD-772496,2023-04-11,CUST-1084,Telefon,Akıllı Telefon,Mağaza,Havale/EFT,58400.4,2,0.1,0.0,0,5
ORD-593600,2023-04-22,CUST-1865,Telefon,Akıllı Saat,Mağaza,Havale/EFT,4291.28,1,0.0,0.0,0,5
ORD-990188,2023-06-13,CUST-1519,Telefon,Akıllı Telefon,Mağaza,Havale/EFT,14227.63,2,0.1,0.0,0,5
ORD-488007,2023-02-19,CUST-1459,Bilgisayar,Tablet,Online,Kapıda Ödeme,13272.01,2,0.1,29.9,4,5
ORD-554566,2023-02-07,CUST-1904,Bilgisayar,Tablet,Online,Havale/EFT,11845.59,1,0.0,29.9,2,3
ORD-123190,2023-10-04,CUST-1050,Telefon,Akıllı Saat,Online,Kredi Kartı,5622.65,3,0.0,49.9,5,1
ORD-826045,2023-08-23,CUST-1038,Aksesuar,Kulaklık,Online,Havale/EFT,2431.17,1,0.0,49.9,3,3
ORD-968214,2023-07-05,CUST-1179,Telefon,Akıllı Saat,Mağaza,Havale/EFT,9840.04,1,0.0,0.0,0,3
ORD-589857,2023-03-14,CUST-1342,Bilgisayar,Monitör,Online,Kredi Kartı,2270.91,2,0.0,49.9,1,3
ORD-801349,2023-06-07,CUST-1595,Ev Elektroniği,Televizyon,Mağaza,Havale/EFT,32259.75,1,0.05,0.0,0,5
ORD-100642,2023-03-06,CUST-1683,Bilgisayar,Tablet,Online,Kredi Kartı,7850.9,2,0.2,29.9,4,5
ORD-110961,2023-12-23,CUST-1524,Aksesuar,Kulaklık,Mobil Uygulama,Kapıda Ödeme,1783.43,1,0.05,29.9,2,5
ORD-657652,2023-03-07,CUST-1309,Aksesuar,Kulaklık,Online,Kredi Kartı,930.38,1,0.0,49.9,1,4
ORD-986894,2023-09-26,CUST-1413,Telefon,Akıllı Telefon,Online,Kapıda Ödeme,23821.61,1,0.0,49.9,2,4
ORD-795194,2023-04-11,CUST-1897,Ev Elektroniği,Kahve Makinesi,Mağaza,Kapıda Ödeme,6900.82,1,0.05,0.0,0,5
ORD-776977,2023-11-11,CUST-1281,Telefon,Akıllı Saat,Mağaza,Kapıda Ödeme,4439.8,1,0.0,0.0,0,4
ORD-617788,2023-08-22,CUST-1996,Bilgisayar,Laptop,Online,Kapıda Ödeme,20758.66,1,0.1,49.9,2,5
ORD-804986,2023-09-17,CUST-1759,Ev Elektroniği,Televizyon,Mağaza,Havale/EFT,39936.8,1,0.05,0.0,0,5
ORD-310534,2023-07-31,CUST-1576,Aksesuar,Powerbank,Mağaza,Kredi Kartı,1104.53,3,0.15,0.0,0,5
ORD-567993,2023-08-15,CUST-1236,Bilgisayar,Monitör,Online,Kapıda Ödeme,7083.62,3,0.0,49.9,5,2
ORD-816034,2023-11-28,CUST-1615,Aksesuar,Powerbank,Mağaza,Kredi Kartı,227.31,1,0.0,0.0,0,3
ORD-526309,2023-05-13,CUST-1731,Bilgisayar,Laptop,Mağaza,Havale/EFT,42396.89,2,0.0,0.0,0,5
ORD-920175,2023-11-22,CUST-1877,Telefon,Akıllı Telefon,Mobil Uygulama,Havale/EFT,30599.52,2,0.0,49.9,2,4
ORD-927060,2023-04-17,CUST-1180,Bilgisayar,Monitör,Online,Kredi Kartı,6204.85,2,0.1,29.9,3,5
ORD-862133,2023-10-13,CUST-1677,Ev Elektroniği,Robot Süpürge,Online,Kapıda Ödeme,10986.89,1,0.0,49.9,4,5
ORD-608345,2023-09-17,CUST-1847,Aksesuar,Kulaklık,Mağaza,Kredi Kartı,2323.17,1,0.0,0.0,0,4
ORD-260163,2023-08-18,CUST-1308,Telefon,Akıllı Telefon,Mağaza,Havale/EFT,57227.37,1,0.0,0.0,0,3
ORD-377900,2023-03-02,CUST-1771,Bilgisayar,Laptop,Mağaza,Havale/EFT,19000.33,1,0.0,0.0,0,4
ORD-907370,2023-03-15,CUST-1745,Bilgisayar,Monitör,Mobil Uygulama,Havale/EFT,5982.46,3,0.0,29.9,2,3
ORD-478365,2023-12-25,CUST-1089,Bilgisayar,Tablet,Mağaza,Kapıda Ödeme,10976.87,1,0.0,0.0,0,4
ORD-756318,2023-07-10,CUST-1214,Telefon,Akıllı Telefon,Mobil Uygulama,Kapıda Ödeme,43661.17,1,0.05,49.9,3,5
ORD-149537,2023-06-13,CUST-1950,Aksesuar,Kulaklık,Mobil Uygulama,Havale/EFT,3727.68,1,0.05,49.9,3,5
ORD-480624,2023-10-03,CUST-1925,Aksesuar,Powerbank,Mobil Uygulama,Kredi Kartı,1106.32,2,0.0,49.9,4,4
ORD-739447,2023-02-28,CUST-1310,Bilgisayar,Monitör,Mobil Uygulama,Kredi Kartı,7244.08,1,0.0,29.9,4,3
ORD-457277,2023-12-04,CUST-1974,Bilgisayar,Tablet,Online,Kapıda Ödeme,13073.44,1,0.05,29.9,4,5
ORD-383519,2023-09-20,CUST-1299,Ev Elektroniği,Robot Süpürge,Mağaza,Kapıda Ödeme,7492.77,2,0.0,0.0,0,4
ORD-522937,2023-10-07,CUST-1777,Aksesuar,Mouse/Klavye,Online,Kapıda Ödeme,1188.92,1,0.0,29.9,3,5
ORD-141649,2023-01-02,CUST-1391,Bilgisayar,Laptop,Mağaza,Kredi Kartı,23454.75,1,0.0,0.0,0,3
ORD-452694,2023-10-23,CUST-1068,Telefon,Akıllı Telefon,Mobil Uygulama,Havale/EFT,17006.08,2,0.0,29.9,3,3
ORD-378971,2023-05-18,CUST-1652,Telefon,Akıllı Saat,Online,Havale/EFT,9093.09,1,0.0,29.9,4,4
ORD-480199,2023-11-29,CUST-1261,Bilgisayar,Laptop,Online,Havale/EFT,38555.7,2,0.0,49.9,4,4
ORD-719981,2023-08-05,CUST-1024,Aksesuar,Kulaklık,Mağaza,Kapıda Ödeme,1142.66,1,0.05,0.0,0,5
ORD-559070,2023-09-21,CUST-1383,Bilgisayar,Laptop,Mobil Uygulama,Kapıda Ödeme,32628.81,1,0.1,29.9,1,5
ORD-284535,2023-06-03,CUST-1997,Bilgisayar,Monitör,Mobil Uygulama,Kredi Kartı,2446.01,2,0.0,29.9,3,4
ORD-813100,2023-01-05,CUST-1496,Ev Elektroniği,Robot Süpürge,Mobil Uygulama,Havale/EFT,5092.76,2,0.1,29.9,2,5
ORD-349962,2023-10-19,CUST-1787,Bilgisayar,Laptop,Mobil Uygulama,Kredi Kartı,15721.24,1,0.05,29.9,1,5
ORD-696572,2023-03-08,CUST-1465,Bilgisayar,Tablet,Mağaza,Havale/EFT,9458.64,1,0.05,0.0,0,5
ORD-276895,2023-07-09,CUST-1920,Bilgisayar,Tablet,Mobil Uygulama,Havale/EFT,8980.0,1,0.05,49.9,5,3
ORD-564627,2023-02-10,CUST-1056,Ev Elektroniği,Kahve Makinesi,Mağaza,Kredi Kartı,6822.66,1,0.1,0.0,0,5
ORD-218520,2023-07-22,CUST-1334,Aksesuar,Kulaklık,Online,Kapıda Ödeme,4018.01,1,0.0,29.9,3,5
ORD-778084,2023-04-22,CUST-1075,Aksesuar,Kulaklık,Mobil Uygulama,Havale/EFT,1343.77,1,0.1,29.9,3,5
ORD-512392,2023-10-09,CUST-1891,Telefon,Akıllı Saat,Mobil Uygulama,Kredi Kartı,8680.78,1,0.0,49.9,1,4
ORD-675357,2023-01-27,CUST-1427,Aksesuar,Mouse/Klavye,Online,Kapıda Ödeme,2799.73,1,0.05,29.9,3,5
